ip_size,time,found
3400000,1.811e-06,0
3410000,1.707e-06,1
3420000,1.966e-06,0
3430000,1.459e-06,0
3440000,1.83e-06,1
3450000,2.651e-06,1
3460000,2.067e-06,1
3470000,1.273e-06,0
3480000,2.124e-06,0
3490000,1.331e-06,0
3500000,1.46e-06,0
3510000,2.009e-06,0
3520000,1.049e-06,0
3530000,1.398e-06,0
3540000,7.29e-07,0
3550000,5.58e-07,0
3560000,1.586e-06,0
3570000,7.18e-07,0
3580000,2.413e-06,0
3590000,2.123e-06,0
3600000,1.574e-06,0
3610000,2.202e-06,0
3620000,2.172e-06,0
3630000,1.315e-06,1
3640000,2.502e-06,1
3650000,1.345e-06,0
3660000,1.455e-06,0
3670000,5.78e-07,0
3680000,1.584e-06,0
3690000,1.669e-06,0
3700000,1.512e-06,0
3710000,1.469e-06,0
3720000,8.89e-07,0
3730000,2.834e-06,0
3740000,2.951e-06,0
3750000,2.515e-06,1
3760000,2.599e-06,0
3770000,3.509e-06,0
3780000,2.314e-06,1
3790000,2.162e-06,0
3800000,2.751e-06,1
3810000,1.879e-06,0
3820000,1.968e-06,1
3830000,2.186e-06,1
3840000,2.745e-06,0
3850000,2.444e-06,0
3860000,4.468e-06,0
3870000,3.351e-06,1
3880000,1.864e-06,0
3890000,1.585e-06,1
3900000,2.81e-06,0
3910000,2.271e-06,0
3920000,2.372e-06,0
3930000,2.71e-06,1
3940000,2.362e-06,0
3950000,1.993e-06,0
3960000,2.717e-06,1
3970000,2.769e-06,0
3980000,7.7e-07,0
3990000,3.032e-06,0
4000000,2.31e-06,0
4010000,1.36e-06,1
4020000,2.997e-06,0
4030000,2.78e-06,1
4040000,2.276e-06,0
4050000,1.523e-06,1
4060000,1.452e-06,1
4070000,2.301e-06,0
4080000,2.288e-06,0
4090000,2.867e-06,0
4100000,3.835e-06,0
4110000,2.805e-06,1
4120000,1.516e-06,0
4130000,1.984e-06,0
4140000,2.851e-06,0
4150000,2.402e-06,1
4160000,7.87e-07,0
4170000,2.86e-06,0
4180000,1.753e-06,1
4190000,6.27e-07,0
4200000,1.464e-06,0
4210000,2.81e-06,1
4220000,1.316e-06,0
4230000,1.978e-06,0
4240000,5.16e-07,0
4250000,2.636e-06,1
4260000,9.48e-07,1
4270000,9.25e-07,1
4280000,1.145e-06,0
4290000,2.949e-06,1
4300000,3.646e-06,1
4310000,5.3e-07,1
4320000,3.171e-06,0
4330000,1.389e-06,1
4340000,2.317e-06,0
4350000,1.518e-06,0
4360000,1.856e-06,0
4370000,9.77e-07,1
4380000,8.97e-07,1
4390000,1.964e-06,1
4400000,2.372e-06,0
4410000,1.056e-06,0
4420000,1.225e-06,0
4430000,2.422e-06,1
4440000,8.38e-07,1
4450000,2.691e-06,0
4460000,1.695e-06,1
4470000,1.476e-06,0
4480000,5.38e-07,1
4490000,1.091e-06,1
4500000,1.109e-06,0
4510000,2.609e-06,0
4520000,2.552e-06,0
4530000,7.03e-07,0
4540000,1.123e-06,0
4550000,1.852e-06,0
4560000,2.181e-06,0
4570000,1.41e-06,0
4580000,1.908e-06,0
4590000,1.858e-06,0
4600000,1.547e-06,0
4610000,1.695e-06,1
4620000,1.416e-06,0
4630000,1.664e-06,0
4640000,1.166e-06,1
4650000,1.545e-06,0
4660000,2.829e-06,0
4670000,2.621e-06,0
4680000,2.113e-06,1
4690000,1.953e-06,1
4700000,4.48e-07,0
4710000,2.009e-06,0
4720000,4.96e-07,0
4730000,1.382e-06,1
4740000,2.014e-06,1
4750000,2.1e-06,0
4760000,1.164e-06,0
4770000,5.91e-07,0
4780000,2.062e-06,1
4790000,6.6e-07,1
4800000,1.999e-06,0
4810000,1.478e-06,0
4820000,6.49e-07,0
4830000,2.684e-06,1
4840000,1.795e-06,0
4850000,2.333e-06,0
4860000,1.984e-06,0
4870000,7.37e-07,0
4880000,1.813e-06,0
4890000,2.531e-06,0
4900000,1.365e-06,0
4910000,2.84e-06,0
4920000,1.979e-06,1
4930000,2.685e-06,0
4940000,2.814e-06,0
4950000,3.425e-06,0
4960000,2.196e-06,0
4970000,2.614e-06,1
4980000,2.036e-06,0
4990000,2.607e-06,1
5000000,1.951e-06,0
